[19:18:42] [main/INFO]: ModLauncher running: args [--username, cliffpk, --version, modpack, --gameDir, C:\Users\Carli\AppData\Roaming\.minecraft\versions\modpack, --assetsDir, C:\Users\Carli\AppData\Roaming\.minecraft\assets, --assetIndex, 5, --uuid, 9c1fe7b90300413687cee10945d0cfc5, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, null, --xuid, null, --userType, mojang, --versionType, release, --width, 1440, --height, 900, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, -XX:+UseG1GC, -XX:+ParallelRefProcEnabled, -XX:MaxGCPauseMillis=200, -XX:+UnlockExperimentalVMOptions, -XX:+DisableExplicitGC, -XX:+AlwaysPreTouch, -XX:G1NewSizePercent=30, -XX:G1MaxNewSizePercent=40, -XX:G1HeapRegionSize=8M, -XX:G1ReservePercent=20, -XX:G1HeapWastePercent=5, -XX:G1MixedGCCountTarget=4, -XX:InitiatingHeapOccupancyPercent=15, -XX:G1MixedGCLiveThresholdPercent=90, -XX:G1RSetUpdatingPauseTimePercent=5, -XX:SurvivorRatio=32, -XX:+PerfDisableSharedMem, -XX:MaxTenuringThreshold=1, -Dusing.aikars.flags=https://mcflags.emc.gs, -Daikars.new.flags=true]
[19:18:42] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[19:18:43] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[19:18:43] [main/INFO]: Trying GL version 4.6
[19:18:43] [main/INFO]: Requested GL version 4.6 got version 4.6
[19:18:43] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Carli/AppData/Roaming/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[19:18:44] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3060/PCIe/SSE2 GL version 4.6.0 NVIDIA 556.12, NVIDIA Corporation
	- architectury 9.2.14
	- armorpointspp 1.20-3.1.1
	- artifacts 9.5.9
	- atlaslib 1.1.12
	- attributefix 21.0.4
	- attributeslib 1.3.5
	- avatar_blockrestoration 1.0.4
	- avatar_daystohorders 1.0.6
	- badmobs 19.0.4
	- balm 7.2.2
	- bettercombat 1.8.5+1.20.1
	- betterdays 1.20.1-3.1.0.4-FORGE
	- betterdeserttemples 1.20-Forge-3.0.3
	- betterdungeons 1.20-Forge-4.0.4
	- betterendisland 1.20-Forge-2.0.6
	- betterfortresses 1.20-Forge-2.0.6
	- betterfpsdist 1.20.1-4.4
	- betterjungletemples 1.20-Forge-2.0.4
	- bettermineshafts 1.20-Forge-4.0.4
	- betteroceanmonuments 1.20-Forge-3.0.4
	- betterstrongholds 1.20-Forge-4.0.3
	- betterwitchhuts 1.20-Forge-3.0.3
	- biggerstacks 1.20.1-1.0.0
	- blocky_siege 6.1.92
	- bookshelf 20.1.10
	- catalogue 1.8.0
	- cc1_20_1 0.71.20.1
	- celestial_artifacts 1.4.2
	- celestial_core 1.3.5
	- cfm 7.0.0-pre36
	- cgm 1.4.17
	- chunksending 1.20.1-2.8
	- citadel 2.5.4
	- cloth_config 11.1.118
	- collective 7.57
	- commongroovylibrary 0.3.3
	- conditional_mixin 0.6.2
	- configurableextramobdrops 3.3
	- configured 2.2.3
	- connectiblechains 1.0.0
	- controlling 12.0.2
	- corail_woodcutter 3.0.4
	- coroutil 1.20.1-1.3.7
	- crafttweaker 14.0.40
	- crashutilities 8.1.4
	- create 0.5.1.f
	- create_sa 2.0.4.
	- createaddition 1.20.1-1.2.3
	- createdeco 2.0.2-1.20.1-forge
	- creativecore 2.11.30
	- creeperoverhaul 3.0.2
	- cristellib 1.1.5
	- cupboard 1.20.1-2.6
	- curios 5.9.0+1.20.1
	- curiosquarkobp 1.2.5
	- customvillagertrades 20.25.0
	- damage_number 1.2.0
	- damageindicator 1.0.0-1.20.1
	- damagenumbers 1.3.0-forge
	- design_decor 0.4.0
	- divine_weaponry 1.6.0
	- dummmmmmy 1.20-1.8.17b
	- dungeons_arise 2.1.58-1.20.x
	- dungeons_arise_seven_seas 1.0.2
	- dynamiclights 1.20.1.2
	- easymagic 8.0.1
	- eatinganimation 5.0.0
	- ecologics 2.2.0
	- effortlessbuilding 3.8
	- embeddium 0.3.24+mc1.20.1
	- enchdesc 17.0.14
	- enhancedai 2.4.7
	- enhancedvisuals 1.7.2
	- entity_texture_features 6.1.1
	- entityculling 1.6.2
	- entropy 1.2.4
	- everycomp 1.20-2.6.57
	- expandability 9.0.4
	- expanded_ecosphere 3.2.4
	- experimentalsettingsdisabler 3.0
	- extragore 5.2.0
	- fallingtree 4.3.4
	- fancymenu 3.2.3
	- farmersdelight 1.20.1-1.2.4
	- farsight_view 1.20.1-3.6
	- farsightedmobs 1.1
	- fastasyncworldsave 1.20.1-2.0
	- fastload 3.4.0
	- ferritecore 6.0.1
	- fight_or_die 1.20.1-1.1.4
	- filtpick 0.0.2
	- flib 0.0.13
	- flywheel 0.6.10-7
	- forge 47.3.0
	- framework 0.6.27
	- ftblibrary 2001.2.2
	- ftbquests 2001.4.6
	- ftbteams 2001.3.0
	- ftbxmodcompat 2.1.1
	- fusion 1.1.1
	- gamestages 15.0.1
	- geckolib 4.4.4
	- globalgamerules 8.0.0.11
	- gml 4.0.9
	- goblins_tyranny 1.1.0
	- gpumemleakfix 1.20.1-1.8
	- grapplemod 1.20.1-v13
	- gravestone 1.20.1-1.0.15
	- guardvillagers 1.20.1-1.6.5
	- guideapi_vp 2.2.6
	- handcrafted 3.0.6
	- healthcommand 1.20.1-1.3
	- hiddenrecipebook 4.6
	- iceberg 1.1.21
	- ichunutil 1.0.0
	- improvedmobs 1.20.1-1.12.4
	- incendium 5.3.5
	- incontrol 1.20-9.2.5
	- infernalmobs 1.20.1.3
	- insanelib 1.13.4
	- interiors 0.5.3+forge-mc1.20.1
	- inventorio 1.10.3
	- inventoryhud 3.4.22
	- inventoryprofilesnext 1.10.10
	- iron_repair_kits 2.0
	- ironchest 1.20.1-14.4.4
	- jade 11.9.4+forge
	- jadeaddons 5.2.2
	- jeed 1.20-2.1.12
	- jei 15.3.0.4
	- jeresources 1.4.0.247
	- justzoom 1.0.2
	- key_binding_patch 1.20.1-1.3.2.1
	- konkrete 1.8.0
	- kotlinforforge 4.10.0
	- kubejs 2001.6.5-build.7
	- l2damagetracker 0.3.8
	- l2itemselector 0.1.7
	- l2library 2.4.23
	- l2screentracker 0.1.4
	- l2tabs 0.3.1
	- lanserverproperties 1.11.1
	- leawind_third_person 2.0.8-beta.5
	- letmedespawn 1.2.0
	- libipn 4.0.2
	- libraryferret 4.0.0
	- limitedchunks 1.8
	- logbegone 1.0.8
	- looot 1.2.0.4
	- lootintegrations 1.20.1-3.7
	- lrarmor 0.1.1
	- marbledsapi 1.0.7
	- marbledsarsenal 2.1.1
	- melody 1.0.2
	- memorysettings 1.20.1-5.4
	- merchantmarkers 1.3.3
	- minecraft 1.20.1
	- mixinextras 0.3.6
	- mixinsquared 0.1.1
	- mobplaques 8.0.1
	- mobsunscreen 3.1.1
	- modernfix 5.17.0+mc1.20.1
	- moonlight 1.20-2.11.17
	- moremobgriefingoptions 2.0.4
	- mousetweaks 2.25.1
	- multimine 1.20.1.4
	- mutantmonsters 8.0.7
	- mutantsbuff 1.0.0
	- nameless_trinkets 1.20.1-1.7.8
	- necronomicon 1.4.2
	- notenoughanimations 1.7.3
	- notenoughcrashes 4.4.7+1.20.1
	- nyfsspiders 2.1.1
	- observable 4.4.1
	- octolib 0.3
	- oculus 1.7.0
	- packetfixer 1.4.2
	- parcool 1.20.1-3.2.1.2-R
	- patchouli 1.20.1-84-FORGE
	- paxi 1.20-Forge-4.0
	- pickupnotifier 8.0.0
	- placebo 8.6.1
	- player_mobs 4.0.0.33
	- playeranimator 1.0.2-rc1+1.20
	- polytone 1.20-1.18.2
	- presencefootsteps 1.20.1-1.9.1-beta.1
	- publicguiannouncement 5.0.0
	- puffish_skills 0.12.2
	- puzzlesaccessapi 8.0.7
	- puzzleslib 8.1.18
	- quark 4.0-455
	- quarkoddities 1.20.1
	- realmrpg_demons 0.9.0
	- realmrpg_skeletons 1.0.3
	- redstonepen 1.3.20
	- repurposed_structures 7.1.15+1.20.1-forge
	- resource_ghouls 1.4.2
	- resourcefulconfig 2.1.2
	- resourcefullib 2.1.25
	- rhino 2001.2.2-build.18
	- riskofrain_items 0.1
	- riskofrain_mobs 1.1.2
	- rubidium 0.7.1
	- rubidium_extras 1.20.1_v1.4.3
	- screenshotclipboard 1.0.9
	- searchables 1.0.3
	- serverpause 1.3.0
	- shut_up_gl_error 1.0.0
	- silentlib 8.0.0
	- slotify 1.20-1.20
	- smoothchunk 1.20.1-3.6
	- sound_physics_remastered 1.20.1-1.4.2
	- spark 1.10.53
	- special_drops 1.0.0
	- spectrelib 0.13.15+1.20.1
	- spelunkers_charm 3.6.0
	- structureessentials 1.20.1-3.4
	- suggestionproviderfix 1.20.1-1.0.0
	- supplementaries 1.20-2.8.10
	- t_and_t 0.0NONE
	- taxtg 1.1.0
	- tenshilib 1.20.1-1.7.6
	- terrablender 3.0.1.6
	- the_flesh_that_hates 0.4
	- torchmaster 20.1.6
	- torohealth 1.20-forge-4
	- trajectory_preview 6.0.3-1.20.1
	- trashslot 15.1.0
	- travelerstitles 1.20-Forge-4.0.2
	- twilightforest 4.3.2145
	- unhealthydying 2.1.4
	- villagersrespawn 46.7.0
	- vtweaks 4.0.13.fix1
	- waterframes 2.0.11a
	- watermedia 2.0.66
	- waystones 14.1.3
	- wegotrunnners 1.0.0
	- wits 1.1.0+1.20.1-forge
	- woodenhopper 1.20.1-1.6.0.1
	- world_of_rot 0.1.31.20.1
	- worldgenrevisited 0.4.3
	- worldstripper 3.3.0
	- wrd 2.0.0
	- xaerominimap 24.2.0
	- xaeroplus 2.14
	- xaeroworldmap 1.38.8
	- yungsapi 1.20-Forge-4.0.4
	- yungsbridges 1.20-Forge-4.0.3
	- yungsextras 1.20-Forge-4.0.3
	- zeta 1.0-16
	- zombie_extreme 0.2.4
	- zombieawareness 0.0NONE
[19:18:52] [main/WARN]: Reference map 'cristellib-forge-refmap.json' for cristellib.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'grapplemod.refmap.json' for grapplemod.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'interiors-forge-refmap.json' for interiors.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'trashslot.refmap.json' for trashslot.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'limitedchunks.refmap.json' for limitedchunks.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'octolib.refmap.json' for octolib.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:52] [main/WARN]: Reference map 'coroutil.refmap.json' for coroutil.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:53] [main/WARN]: Reference map 'itemselector.refmap.json' for l2itemselector.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:53] [main/WARN]: Reference map 'packetfixer-forge-forge-refmap.json' for packetfixer-forge.mixins.json could not be read. If this is a development environment you can ignore this message
[19:18:53] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:53] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:54] [main/WARN]: Error loading class: xyz/przemyk/simpleplanes/upgrades/shooter/ShooterUpgrade (java.lang.ClassNotFoundException: xyz.przemyk.simpleplanes.upgrades.shooter.ShooterUpgrade)
[19:18:54] [main/WARN]: @Mixin target xyz.przemyk.simpleplanes.upgrades.shooter.ShooterUpgrade was not found cgm.mixins.json:common.simpleplanes.ShooterUpgradeMixin
[19:18:54] [main/INFO]: Disabling ExtendedServerViewDistance mixin due to Farsight/Bobby being installed.
[19:18:54] [main/INFO]: Loaded config for: structureessentials.json
[19:18:54] [main/INFO]: Patching EffectRenderingInventoryScreen#renderEffects
[19:18:54] [main/WARN]: Error loading class: dev/shadowsoffire/apotheosis/ench/table/ApothEnchantmentMenu (java.lang.ClassNotFoundException: dev.shadowsoffire.apotheosis.ench.table.ApothEnchantmentMenu)
[19:18:54] [main/WARN]: @Mixin target dev.shadowsoffire.apotheosis.ench.table.ApothEnchantmentMenu was not found celestial_artifacts.mixins.json:ApothEnchantmentMenuMixin
[19:18:54] [main/WARN]: Error loading class: net/raphimc/immediatelyfast/feature/core/ImmediateAdapter (java.lang.ClassNotFoundException: net.raphimc.immediatelyfast.feature.core.ImmediateAdapter)
[19:18:54] [main/WARN]: Error loading class: net/coderbot/batchedentityrendering/impl/FullyBufferedMultiBufferSource (java.lang.ClassNotFoundException: net.coderbot.batchedentityrendering.impl.FullyBufferedMultiBufferSource)
[19:18:54] [main/WARN]: Error loading class: net/coderbot/iris/layer/InnerWrappedRenderType (java.lang.ClassNotFoundException: net.coderbot.iris.layer.InnerWrappedRenderType)
[19:18:54] [main/WARN]: Error loading class: net/coderbot/iris/layer/OuterWrappedRenderType (java.lang.ClassNotFoundException: net.coderbot.iris.layer.OuterWrappedRenderType)
[19:18:54] [main/WARN]: Error loading class: dev/tr7zw/skinlayers/render/CustomizableModelPart (java.lang.ClassNotFoundException: dev.tr7zw.skinlayers.render.CustomizableModelPart)
[19:18:54] [main/WARN]: Error loading class: net/raphimc/immediatelyfast/feature/core/BatchableBufferSource (java.lang.ClassNotFoundException: net.raphimc.immediatelyfast.feature.core.BatchableBufferSource)
[19:18:54] [main/WARN]: Inventory Profiles Next: Doing our own dependency resolving! Because Forge is being Forge....: https://github.com/MinecraftForge/MinecraftForge/issues/9088
[19:18:54] [main/WARN]: Error loading class: de/maxhenkel/easyvillagers/blocks/tileentity/TraderTileentityBase (java.lang.ClassNotFoundException: de.maxhenkel.easyvillagers.blocks.tileentity.TraderTileentityBase)
[19:18:54] [main/WARN]: @Mixin target de.maxhenkel.easyvillagers.blocks.tileentity.TraderTileentityBase was not found mixins.ipnext.json:MixinTraderTileEntityBase
[19:18:54] [main/WARN]: Error loading class: mezz/modnametooltip/TooltipEventHandler (java.lang.ClassNotFoundException: mezz.modnametooltip.TooltipEventHandler)
[19:18:54] [main/WARN]: Error loading class: me/shedaniel/rei/impl/client/ClientHelperImpl (java.lang.ClassNotFoundException: me.shedaniel.rei.impl.client.ClientHelperImpl)
[19:18:54] [main/WARN]: Error loading class: com/github/NGoedix/watchvideo/block/entity/custom/TVBlockEntity (java.lang.ClassNotFoundException: com.github.NGoedix.watchvideo.block.entity.custom.TVBlockEntity)
[19:18:54] [main/WARN]: @Mixin target com.github.NGoedix.watchvideo.block.entity.custom.TVBlockEntity was not found waterframes.mixin.json:vp.VideoPlayerMixin
[19:18:54] [main/WARN]: Error loading class: noobanidus/mods/lootr/config/ConfigManager (java.lang.ClassNotFoundException: noobanidus.mods.lootr.config.ConfigManager)
[19:18:54] [main/WARN]: Error loading class: net/raphimc/immediatelyfast/feature/map_atlas_generation/MapAtlasTexture (java.lang.ClassNotFoundException: net.raphimc.immediatelyfast.feature.map_atlas_generation.MapAtlasTexture)
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.WorldRendererMixin' as rule 'mixin.features.render.world.sky' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.ClientWorldMixin' as rule 'mixin.features.render.world.sky' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.world.sky.BackgroundRendererMixin' as rule 'mixin.features.render.world.sky' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.gui.font.GlyphRendererMixin' as rule 'mixin.features.render.gui.font' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.gui.font.FontSetMixin' as rule 'mixin.features.render.gui.font' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.shadows.EntityRenderDispatcherMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.remove_streams.ModelPartMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.remove_streams.HierarchicalModelMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.fast_render.ModelPartMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.fast_render.CuboidMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/WARN]: Force-disabling mixin 'features.render.entity.cull.EntityRendererMixin' as rule 'mixin.features.render.entity' (added by mods [oculus]) disables it and children
[19:18:55] [main/INFO]: Initializing MixinExtras via com.llamalad7.mixinextras.service.MixinExtrasServiceImpl(version=0.3.6).
[19:18:55] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:55] [main/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:55] [main/WARN]: Static binding violation: PRIVATE @Overwrite method m_216202_ in modernfix-forge.mixins.json:perf.tag_id_caching.TagOrElementLocationMixin cannot reduce visibiliy of PUBLIC target method, visibility will be upgraded.
[19:18:57] [main/INFO]: Patching EffectRenderingInventoryScreen#renderEffects
[19:18:57] [main/WARN]: @Inject(@At("INVOKE_ASSIGN")) Shift.BY=3 on jeed-common.mixins.json:EffectsRenderingInventoryScreenMixin::handler$cki000$captureEffect exceeds the maximum allowed value: 0. Increase the value of maxShiftBy to suppress this warning.
[19:18:57] [pool-4-thread-1/INFO]: ModernFix reached bootstrap stage (16.97 s after launch)
[19:18:57] [pool-4-thread-1/WARN]: @Final field delegatesByName:Ljava/util/Map; in modernfix-forge.mixins.json:perf.forge_registry_alloc.ForgeRegistryMixin should be final
[19:18:57] [pool-4-thread-1/WARN]: @Final field delegatesByValue:Ljava/util/Map; in modernfix-forge.mixins.json:perf.forge_registry_alloc.ForgeRegistryMixin should be final
[19:18:58] [pool-4-thread-1/INFO]: Vanilla bootstrap took 956 milliseconds
[19:18:58] [pool-4-thread-1/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:58] [pool-4-thread-1/INFO]: Patching IForgeItemStack#getEnchantmentLevel
[19:18:59] [pool-4-thread-1/WARN]: @Final field f_26027_:Lnet/minecraft/world/entity/ai/targeting/TargetingConditions; in guardvillagers.mixins.json:DefendVillageGoalGolemMixin should be final
[19:19:00] [pool-4-thread-1/WARN]: Static binding violation: PRIVATE @Overwrite method m_47505_ in modernfix-common.mixins.json:perf.remove_biome_temperature_cache.BiomeMixin cannot reduce visibiliy of PUBLIC target method, visibility will be upgraded.
[19:19:01] [Render thread/WARN]: Assets URL 'union:/C:/Users/Carli/AppData/Roaming/.minecraft/libraries/net/minecraft/client/1.20.1-20230612.114412/client-1.20.1-20230612.114412-srg.jar%23648!/assets/.mcassetsroot' uses unexpected schema
[19:19:01] [Render thread/WARN]: Assets URL 'union:/C:/Users/Carli/AppData/Roaming/.minecraft/libraries/net/minecraft/client/1.20.1-20230612.114412/client-1.20.1-20230612.114412-srg.jar%23648!/data/.mcassetsroot' uses unexpected schema
[19:19:01] [Render thread/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:19:01] [Render thread/ERROR]: Failed to verify authentication
com.mojang.authlib.exceptions.InvalidCredentialsException: Status: 401
	at com.mojang.authlib.exceptions.MinecraftClientHttpException.toAuthenticationException(MinecraftClientHttpException.java:56) ~[authlib-4.0.43.1.jar%23111!/:?]
	at com.mojang.authlib.yggdrasil.YggdrasilUserApiService.fetchProperties(YggdrasilUserApiService.java:147) ~[authlib-4.0.43.1.jar%23111!/:?]
	at com.mojang.authlib.yggdrasil.YggdrasilUserApiService.<init>(YggdrasilUserApiService.java:63) ~[authlib-4.0.43.1.jar%23111!/:?]
	at com.mojang.authlib.yggdrasil.YggdrasilAuthenticationService.createUserApiService(YggdrasilAuthenticationService.java:124) ~[authlib-4.0.43.1.jar%23111!/:?]
	at net.minecraft.client.Minecraft.m_193585_(Minecraft.java:649) ~[client-1.20.1-20230612.114412-srg.jar%23648!/:?]
	at net.minecraft.client.Minecraft.<init>(Minecraft.java:413) ~[client-1.20.1-20230612.114412-srg.jar%23648!/:?]
	at net.minecraft.client.main.Main.main(Main.java:182) ~[modpack.jar:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77) ~[?:?]
	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
	at java.lang.reflect.Method.invoke(Method.java:568) ~[?:?]
	at net.minecraftforge.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:111) ~[fmlloader-1.20.1-47.3.0.jar:?]
	at net.minecraftforge.fml.loading.targets.CommonLaunchHandler.clientService(CommonLaunchHandler.java:99) ~[fmlloader-1.20.1-47.3.0.jar:?]
	at net.minecraftforge.fml.loading.targets.CommonClientLaunchHandler.lambda$makeService$0(CommonClientLaunchHandler.java:25) ~[fmlloader-1.20.1-47.3.0.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandlerDecorator.launch(LaunchServiceHandlerDecorator.java:30) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:53) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:71) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.Launcher.run(Launcher.java:108) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.Launcher.main(Launcher.java:78) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:26) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:23) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.bootstraplauncher.BootstrapLauncher.main(BootstrapLauncher.java:141) ~[bootstraplauncher-1.1.2.jar:?]
Caused by: com.mojang.authlib.exceptions.MinecraftClientHttpException: Status: 401
	at com.mojang.authlib.minecraft.client.MinecraftClient.readInputStream(MinecraftClient.java:85) ~[authlib-4.0.43.1.jar%23111!/:?]
	at com.mojang.authlib.minecraft.client.MinecraftClient.get(MinecraftClient.java:48) ~[authlib-4.0.43.1.jar%23111!/:?]
	at com.mojang.authlib.yggdrasil.YggdrasilUserApiService.fetchProperties(YggdrasilUserApiService.java:122) ~[authlib-4.0.43.1.jar%23111!/:?]
	... 20 more
[19:19:01] [Render thread/INFO]: Setting user: cliffpk
[19:19:01] [Render thread/INFO]: Bypassed Mojang DFU
[19:19:02] [Render thread/INFO]: BeforeConstant is searching for constants in method with descriptor (Lnet/minecraft/network/chat/Component;Lnet/minecraft/client/GuiMessageTag;)V
[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = , stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 0
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn 
[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = \\r, stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 1
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn \\r
[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = 
, stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 2
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn 

[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = \\n, stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 3
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn \\n
[19:19:02] [Render thread/INFO]:   BeforeConstant found CLASS constant: value = Ljava/lang/String;, typeValue = null
[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = [{}] [CHAT] {}, stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 4
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn [{}] [CHAT] {}
[19:19:02] [Render thread/INFO]:   BeforeConstant found STRING constant: value = [CHAT] {}, stringValue = null
[19:19:02] [Render thread/INFO]:     BeforeConstant found a matching constant TYPE at ordinal 5
[19:19:02] [Render thread/INFO]:       BeforeConstant found LdcInsn [CHAT] {}
[19:19:02] [Render thread/INFO]: Loaded config for: farsight.json
[19:19:02] [Render thread/INFO]: Backend library: LWJGL version 3.3.1 build 7
[19:19:02] [Render thread/INFO]: Loaded client.properties
[19:19:02] [Render thread/WARN]: Applying workaround: Prevent the NVIDIA OpenGL driver from using broken optimizations (NVIDIA_THREADED_OPTIMIZATIONS)
[19:19:02] [Render thread/INFO]: OpenGL Vendor: NVIDIA Corporation
[19:19:02] [Render thread/INFO]: OpenGL Renderer: NVIDIA GeForce RTX 3060/PCIe/SSE2
[19:19:02] [Render thread/INFO]: OpenGL Version: 4.6.0 NVIDIA 556.12
[19:19:02] [Render thread/WARN]: Enabling secondary workaround for NVIDIA threaded optimizations
[19:19:02] [Render thread/INFO]: Debug functionality is disabled.
[19:19:02] [Render thread/INFO]: OpenGL 4.5 detected, enabling DSA.
[19:19:02] [Render thread/WARN]: Found flag CUSTOM_IMAGES
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/WARN]: Tried to get boolean value for unknown option: 1, defaulting to true!
[19:19:02] [Render thread/INFO]: Profile: HIGH (+31 options changed by user)
[19:19:03] [Render thread/INFO]: Using shaderpack: ComplementaryUnbound_r5.2.1.zip
[19:19:04] [modloading-worker-0/INFO]: Registering items for Create Deco
[19:19:04] [modloading-worker-0/INFO]: Constructing common components for pickupnotifier:main
[19:19:04] [modloading-worker-0/INFO]: Initialised GML mod. Version: 4.0.9
[19:19:04] [modloading-worker-0/INFO]: Constructing client components for pickupnotifier:main
[19:19:04] [modloading-worker-0/INFO]: Loading Expanded Ecosphere
[19:19:04] [modloading-worker-0/INFO]: Registering blocks for Create Deco
[19:19:04] [modloading-worker-0/INFO]: Found (COMMON) InsaneLib Feature class insane96mcp.enhancedai.modules.witch.WitchFleeTarget
[19:19:04] [modloading-worker-0/INFO]: Found (COMMON) InsaneLib Feature class insane96mcp.enhancedai.modules.witch.throwing.WitchPotionThrowing
[19:19:04] [modloading-worker-0/INFO]: Found (COMMON) InsaneLib Feature class insane96mcp.enhancedai.modules.witch.ThirstyWitches
